budget,execution_order,objectives_consistent,objective_difference,cold_objective,warm_objective,cold_iterations,warm_iterations,iteration_reduction,cold_initial_pool_size,warm_initial_pool_size,cold_final_pool_size,warm_final_pool_size,active_scenario_count,historical_adversarial_count,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_total_seconds,warm_total_seconds,runtime_reduction_seconds,cold_reserve,warm_reserve,cold_worst_scenario,warm_worst_scenario
700.0,cold->warm,True,0.0,9689.611543803301,9689.611543803301,1,1,0,3,3,3,3,1,1,0.15671890001976863,0.013468499993905425,0.1661838999716565,0.18400480004493147,0.32607839995762333,0.19912540004588664,0.1269529999117367,-0.0,-0.0,s0016,s0016
800.0,warm->cold,True,0.0,7523.229280717749,7523.229280717749,4,4,0,3,3,6,6,1,4,0.07174419984221458,0.07362370000919327,0.6841335999779403,0.6712703999364749,0.7647954000276513,0.7519811000092886,0.012814300018362701,0.0,0.0,s0016,s0016
900.0,cold->warm,True,0.0,5381.392979009997,5381.392979009997,5,2,3,3,6,7,7,1,5,0.12450149992946535,0.052360499976202846,0.8180878000566736,0.3379776999936439,0.9541941999923438,0.3961101999739185,0.5580840000184253,0.0,0.0,s0016,s0016
1000.0,warm->cold,True,0.0,3269.9644075814263,3269.9644075814263,5,1,4,3,7,7,7,1,5,0.09967980004148558,0.028068599989637733,0.8485884998808615,0.19813410000642762,0.9608630999573506,0.2284071000176482,0.7324559999397025,0.0,-0.0,s0016,s0016
1100.0,cold->warm,True,0.0,1184.2497686697275,1184.2497686697275,4,2,2,3,7,6,8,2,6,0.07604359998367727,0.05372210004134104,0.6884781999979168,0.3265581999439746,0.7727027999935672,0.38499200000660494,0.38771079998696223,0.0,0.0,s0008,s0008
1200.0,warm->cold,True,0.0,1115.180980742255,1115.180980742255,6,2,4,3,8,8,9,4,7,0.13621440005954355,0.060082599986344576,1.0391239999444224,0.3684297000290826,1.1929712999844924,0.4345565000548959,0.7584147999295965,149.0446500844194,149.0446500844194,s0011,s0011
