iteration,scenario_count,added_scenario,added_type,LB,candidate_UB,global_UB,gap,regular_cost,R,R/B,master_time,oracle_time,infeasible_scenario_count,worst_recourse_cost,worst_scenario
1,3,s0000,infeasible,3163.62174902642,,,,1000.0,-0.0,-0.0,0.012233099987497553,0.14355070001329295,10,,
2,4,s0006,infeasible,3234.4192275211503,,,,1000.0,-0.0,-0.0,0.014969900017604232,0.17228280002018437,5,,
3,5,s0010,infeasible,3251.4010050377105,,,,1000.0,-0.0,-0.0,0.01606380002340302,0.1494992999942042,3,,
4,6,s0012,infeasible,3255.593674381104,,,,1000.0,0.0,0.0,0.019673200004035607,0.15796040001441725,2,,
5,7,,,3269.9644075814276,3269.9644075814263,3269.9644075814263,-1.3642420526593924e-12,1000.0,0.0,0.0,0.022005599981639534,0.1613571000052616,0,2269.9644075814263,s0016
