budget,status,failure_stage,failure_message,execution_order,objectives_consistent,objective_difference,cold_termination_status,warm_termination_status,cold_objective,warm_objective,cold_iterations,warm_iterations,iteration_reduction,cold_initial_pool_size,warm_initial_pool_size,cold_final_pool_size,warm_final_pool_size,active_scenario_count,historical_adversarial_count,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_total_seconds,warm_total_seconds,runtime_reduction_seconds,cold_reserve,warm_reserve,cold_worst_scenario,warm_worst_scenario
700.0,optimal,,,cold->warm,True,0.0,optimal,optimal,9689.611543803301,9689.611543803301,1,1,0,3,3,3,3,1,1,0.22974380000960082,0.025863400020170957,0.28435949998674914,0.21329960000002757,0.5183717000763863,0.24365590000525117,0.27471580007113516,-0.0,-0.0,s0016,s0016
800.0,optimal,,,warm->cold,True,0.0,optimal,optimal,7523.229280717749,7523.229280717749,4,4,0,3,3,6,6,1,4,0.10528879991034046,0.12177269993117079,0.8874520999379456,1.261534599994775,1.005678799992893,1.3992616999312304,-0.3935828999383375,0.0,0.0,s0016,s0016
900.0,optimal,,,cold->warm,True,0.0,optimal,optimal,5381.392979009997,5381.392979009997,5,2,3,3,6,7,7,1,5,0.14932209998369217,0.06372069998178631,1.0613298999960534,0.4591437000199221,1.227035500050988,0.5304411999532022,0.6965943000977859,0.0,0.0,s0016,s0016
1000.0,optimal,,,warm->cold,True,0.0,optimal,optimal,3269.9644075814263,3269.9644075814263,5,1,4,3,7,7,7,1,5,0.09537460008868948,0.03274749999400228,0.7777567999437451,0.25385959999402985,0.8855508000124246,0.2904819000395946,0.59506889997283,0.0,-0.0,s0016,s0016
1100.0,optimal,,,cold->warm,True,0.0,optimal,optimal,1184.2497686697275,1184.2497686697275,4,2,2,3,7,6,8,2,6,0.06564979994436726,0.04853319993708283,0.5784693000023253,0.30534110008738935,0.6507959999726154,0.3583979000686668,0.2923980999039486,0.0,0.0,s0008,s0008
1200.0,optimal,,,warm->cold,True,0.0,optimal,optimal,1115.180980742255,1115.180980742255,6,2,4,3,8,8,9,4,7,0.33288080006605014,0.05299559998093173,2.5394513999926858,0.30923220003023744,2.910708000068553,0.3676176000153646,2.543090400053188,149.0446500844194,149.0446500844194,s0011,s0011
