seed,C0_beta_1_1_speedup,C0_beta_1_3_speedup,C0_end_to_end_speedup,T03_beta_1_1_speedup,T03_beta_1_3_speedup,T03_end_to_end_speedup,paired_T03_minus_C0_beta_1_3_log_speedup
2026091101,1.002536957145657,2.7587289084640814,1.468540115781864,1.0391874771462954,1.599543931641002,1.2567102085959136,-0.5450514873472245
2026091102,1.0031082136846106,0.9827453876753275,0.9904722879260998,0.9938560850599683,1.003638633041974,0.9999382988279494,0.021037237206147707
2026091103,1.0216281574627526,0.9923995187239851,1.0068802306467368,0.9934111633540355,1.0251519042558137,1.0091990409943874,0.03247031301024122
2026091104,0.9997379773538705,1.6016577855691414,1.2311010554051323,1.0073589147227882,1.6165532116258774,1.2436398468948733,0.009257026614151065
2026091105,1.0067607587154146,1.7396194612894402,1.3173548276815716,1.0093298898500942,1.595600165601707,1.2353415325302195,-0.08641644406405946
2026091106,0.9929639855482102,1.3592276842717057,1.1776880683363187,1.0185434566396003,1.017400229657492,1.0179723979062505,-0.2896660800952136
2026091107,1.0266805028628918,0.9963253435013395,1.0113017544716023,1.017825901688839,1.0163658216739095,1.0170950394429545,0.019914769686979666
2026091108,1.0155439119338452,1.5834084499273955,1.236381468308224,1.0145612172745717,1.374280005011093,1.1957568508443916,-0.14164980905666896
2026091109,1.002162260061962,1.000044818591223,1.0011058759233806,1.0036229031025423,1.0094174905007978,1.006527012972824,0.009328604808162423
2026091110,0.9955740779991099,1.0219904144693752,1.0087396748439719,0.9924167475893793,1.0190728984328294,1.0056094881003135,-0.0028588216790148557
